"product_uid","product_description"
100247,"Choose among several fabric options to coordinate your outdoor decor theme with these Posada Patio Dining Chairs with Bare Cushions from Hampton Bay. Or, go the DIY route and fashion your own slipcovers with fabric from another provider. Either way, these all-weather armless dining side chairs are sure to spruce up your patio, deck or porch. This item is part of the Choose Your Own Color program and comes with bare cushions (customizable slipcovers available for an additional price and shipped separately).Part of the Choose Your Own Color program, slipcovers for cushions must be purchased separatelyNo assembly required2 chairs and 2 bare cushions packed in 1 boxClean with mild soap and waterCoordinates with other patio furniture and accessories in Posada collection, available separatelyEach chair supports up to 300 lbs.2-year limited frame and weave warrantyPowder-coated steel frame is durable and rust-resistantMore options available, CLICK HERE to Choose Your Own ColorCustomizable items cannot be returned. Click here to review our return policy for additional information regarding returns<br"
100248,"Use Backer-On 1-1/4 in. Zinc-Plated Steel Flat-Head Square Cement Board Screws (200-Pack) to attach cement board to wood or light-gauge steel studs. These zinc-plated screws are perfect for moist areas, such as showers and countertops. Thread designed for easy installation. No pre-drilling required.Use to attach cement board to wood or light gauge steel studsIdeal for use with showers, backsplashes, countertops and floorsSteel constructionRolled gimlet drive is easy to start in dense boardPatented/serrated for lower installation torque#2 square drive reduces cam-outRib design under .375 in. ultrathin wafer-head counter-sinks for flush-seating in boards#10 diameter for increased strength in dense boardZinc-platedResists corrosion"
100249,"The Hampton Bay Midili 44 in. Brushed Nickel Ceiling Fan has reversible black or rosewood blades, a brushed nickel finish and a frosted opal glass light kit that provides an eye-catching accent to your home decor. The Midili offers a contemporary yet compact flywheel design and has a remote control that allows you to choose between 3 speeds and control the light kit. Uses one 14-Watt (60-Watt equivalent) medium-base CFL bulb (included).Small rooms up to 10 ft. x 10 ft.Bowl light kit with frosted opal glassUses one 14-Watt (60-Watt equivalent) medium-base CFL bulb (included)Full function handheld remote control included5 reversible rosewood or black bladesDual-mount installationConcealed screws and hardware for added beauty and stylingQuiet and wobble-free operation30 in. lead wires for easier installation of extension downrod (sold separately)0.75 in. downrod(s) in 4.5 in. L provide greater stability153 x 12 mm power plus motorLimited lifetime warrantyNeed Help? Find support information and FAQs on our Hampton Bay Customer Support pageHome Depot Protection Plan:"
100250,"The House of Fara 7/8 in. x 2-5/8 in. x 8 ft. Basswood Casing/Chair Rail can protect a wall from chairs and furniture or can be used in a variety of other ways to bring a finishing touch to a home project. Manufactured from solid white hardwood, it may be clear coated, stained or painted to match your existing decor. Its unique detail will add an architectural touch to any room or project.California residents: see&nbsp;Proposition 65 informationSolid Basswood construction for durabilitySuitable for stain or paintSmooth lines offer a simple, elegant lookProtects a wall from chairs and other furnitureCan also be used as casing, base moulding, panel moulding or as a wallpaper border8 ft. LengthMade in the USA"
100251,"Western Red Cedar is a unique and prestigious softwood with outstanding physical characteristics. It offers a rare combination of aesthetic appeal and durability, thanks to its natural decay-resistant composition.  Western Red Cedar's superior dimensional stability means that, when properly installed and maintained, project components are likely to stay straight and flat, and resist warping and cupping - season after season. In addition, cedar is easy to cut, saw and nail with common tools.California residents: see&nbsp;Proposition 65 informationAppearance grade with tight sound knots and little to no waneLumber has a rough sawn surface for a natural appearanceEasy to finish with solid or oil-based stains and clear penetrating sealersGreat for outdoor projects like fences or pergolas and gazebosCedar's decay resistance allows it to be used in weather exposed applications, without a chemical treatmentNote: Product may vary by store."
100252,"The Summer Infant Sure and Secure 36 in. Extra-Tall Walk-Thru Gate is just right for safely limiting your child's access through most any doorway. This stable and adjustable gate requires only 1 hand to operate and closes automatically.Compatible with many doorwaysPressure-mounted installation can accommodate baseboardsMetal construction with a white finishFits openings 28 - 47-1/2 in. W1-handed operationOpens either way and automatically swings closed and locks36 in. HAlso useful for pets"
100253,"Scotch Painting Production Masking Tape is the professional's choice in projects where higher adhesion tapes are needed. This tape's high adhesion level makes it ideal for most coated and non-damageable surfaces. Scotch Painting Production Masking Tape provide exceptional durability and staying power, yet still offers the same clean removal you would expect from Scotch brand tapes. This tape bonds aggressively, yet is easy to unwind and applies smoothly. Scotch Painting Production Masking Tape can be used for general home and office use, or for hanging poly.Ideal for: general home and office useHigh adhesion level3 day removalResists sunlight and UV damageEasy to use and applies smoothlyFor interior and exterior useNumber of rolls included: 1Great for DIY"
100254,"Element Contractor Farm is a serious hose for a serious job. Whether you work on a farm, a construction site, or just around your house this hose can withstand it all. This drinking water safe hose's heavy duty reinforcement and octagonal shape give it the ultimate in burst performance and kink resistance. Ultra large, heavy duty, crush proof couplings are perfectly designed for use with a gloved hand. Larger 3/4 in. Dia delivers significantly higher water volumes than standard hoses to meet your biggest water use challenges. Element contractor farm, ideal for professional and agricultural needs.500-PSI high performance burst strengthSuper duty eco couplings with spring guardIdeal for the professional contractor or landscaperDrinking water safeLead freeKink free octagonal shape"
100255,"Available in a variety of indoor and outdoor window sizes. 3M Window Insulator Kits keep cold drafts out and warm air in through heat shrink window film and Scotch Window Film Mounting Tape. 3M window kits have the clearest film and stay up all season long with Scotch tape technology.Clearest window film availableScotch double sided tape holds firmly between films and surfacesSaves energy and reduces heating costsReduces condensation and prevents frost buildupMade in the USAFits one 8 in. x 9 ft. indoor patio door"
100256,"Tri-Ply#75Base Sheet is a premium roofing base sheet constructed with a fiberglass mat reinforcing that is coated on both sides to ensure a closed-sheet design to prevent asphalt bleed-through. The sealed sheet also serves as an effective flame retarder for the application of torch-applied modified bitumen membranes. Tri-Ply#75base sheet is engineered for use in the construction of Tri-Ply built-up and modified bitumen roofs.California residents: see&nbsp;Proposition 65 informationOptimum porosity provides ready escape of air while applying hot asphaltNailable and rolls out flat for easy installationMeets ASTM D4601, type IIFM approvedUL classifiedMiami-Dade county product control approved"
100257,"Enjoy the clean fresh scent and the luxurious enhancement throughout your home that only Cedar Essentials 100% Aromatic Eastern Red Cedar planks can provide. Whether you are updating, remodeling or building a new home, Cedar Essentials solid wood tongue and groove planking is the Eco-Friendly way to line, protect and beautify all of the storage areas in your home. From closets, cabinets, dresser drawers and chests in bedrooms, bathrooms, basements, pantries, laundry rooms and attics, Cedar Essentials 100% Aromatic Eastern Red Cedar planks are the perfect way to help naturally resist mildew, odor and repel pests such as moths, roaches and silverfish, while protecting your garments and other valuables without the use of any harmful chemicals or treatments. Made in the USA these planks are environmentally friendly and require no messy finishing. The end-matched tongue and groove design makes it an easy install with professional results for any do-it-yourselfer. 100% Natural Aromatic Red Cedar planking is the perfect economical solution for garment protection, preventing odor and mildew problems and freshening up all the storage areas of your home, apartment or condo from the attic to the basement and everywhere in between.California residents: see&nbsp;Proposition 65 informationEach box covers 15 sq. ft.100% Aromatic eastern red cedar; no added chemicals or treatmentsAromatic fresh scent with the luxurious enhanced look of real red cedarAromatic scent naturally repels moths, roaches and other pestsNaturally resists mildewEnvironmentally friendly; safe non-toxic alternative to mothballsEnd matched tongue and groove planks for easy assemblyEast to install for the do-it-yourselferNo finishing requiredAuthentic solid wood cedar essentials planking adds beauty, warmth and valueRandom length planks are 3-3/4 in. wide x 1/4 in. thickGreat for closets, drawers, chests and more"
100258,"The HDX 8 in. Groove Joint Pliers. These pliers are lightweight for easy management. They have soft comfort grip handles make these pliers easy to hold.Made from steelDouble dipped soft grip handles for comfortEasy to useIdeal for any office, home or garage"
100259,"Vigoro Decorative Stone 0.5 cu. ft. Red Lava Rock will add a decorative touch to your landscape. Use it around trees, shrubs, decks and driveways. The red landscaping rock will not fade, wash or blow away. Unlike wood mulches, it will not attract wood pests, such as termites and ants.Place around trees, shrubs, decks and driveways to accent your home landscapeUse to help retain moisture in soil and control erosionRed lava rock won't fade, wash or blow awayLava rock landscape mulch won't attract wood pests, such as termites and ants0.5 cu. ft. bag covers up to 6 sq. ft.Color coded plastic bagsCoverage chart on back of bagNote: Product may vary by store."
100260,"The DecraMold 17/32 in. x 7/32 in. DML58 Pine Straight Moulding can be used to embellish furniture and cabinetry. Trim can also be used to cover seams and tranistions between wallpaper and painted walls. Trim can also be used to cover the raw edges of plywood. Multi-purpose trim for a variety of home improvement needs.California residents: see&nbsp;Proposition 65 informationSmooth, consistent surface is free from knots and is ready to finishCan be painted with any high quality latex based paintCan also be used to accent shelving, cabinets or any other interior elementsAdds a decorative touch to your roomInstalls with common woodworking tools"
100261,"Ziplevel Anchoring Stakes allow the user to secure the Ziplevel base unit to a slope through built-in anchoring keyholes to prevent movement during measurements. Anchoring Stakes are an optional accessory for the Ziplevel PRO-2000B; they are included with the Ziplevel PRO-2000.Secures Ziplevel base unit to the ground for stable measurementsConveniently stow securely in Ziplevel base unitZinc plated steel provides long-lasting corrosion resistanceMADE WITH PRIDE IN THE USA!Great solution for laser tools needs"
100262,"Relax the look of any room with the calm and comforting Home Decorators Collection Espresso Multi-Weave Bamboo Roman Shade. Environmentally friendly, woven wood-textured natural shades stylishly filter light and protect your furniture from fading. The rich wood tones of natural shades, (also called bamboo blinds or bamboo shades) are complimentary to many hardwood floor and furniture finishes, or jute or sisal rugs. Textured window blinds are available in many different colors and styles. They are popular window treatments for coastal and beach properties, lakeside or country cottages, or traditional and metropolitan homes.23 in. W x 72 in. LActual blind width is 22.5 in.NOTE: This blind is 0.5 in. (1.27 cm) narrower than the order size (or the size shown on the box)For an inside mount, fits windows 23 in. wideFor an outside mount, order the width of the overall area to be covered6 in. matching valance included1/8 in. natural bamboo matchsticks form a tight woven wood weave that will lightly filter the sunReal natural bamboo matchsticks are light weightSemi- private shades provide light and privacy control for windowsThin natural matchstick bamboo is threaded together in a woven wood weave similar to a jute rug and compliments any roomSemi-private roman shade has a lift and fold system that opens and closes easily for privacy and light control lightDecorative tassel matches perfect to the style of the shadeFinished bottom railDecorative designer tips includedEasy installationInterior roman shadeNot sure what size to buy? Click here to download a printable window treatment measuring guide!WARNING: The cords on this product present a potential strangulation hazard. For child safety, consider cordless alternatives or products with inaccessible cords. To access a copy of the warning label, see additional images."
100263,"The BLACK+DECKER PP610 Pole saw is ideal for cutting for high hanging branches. This saw features a 6.5 Amp powerful motor for demanding cuts. A 10 in. Oregon low-kickback bar and chain allows for improved cutting performance.Sturdy 9.5 ft. extended pole for hard to reach branchesAutomatic oiling system ensures constant bar and chain lubricationInline motor for direct pruning and clear line of sightClear oil window for easy to gauge oil levelHome Depot Protection Plan:"
100264,"The LG 4.0 cu. ft. ultra large capacity front load washer was awarded the ENERGY STAR Most Efficient designation in 2013 and features 7 wash cycles. Among the 7 cycles the washer includes Hand Wash/Wool and Speed Wash. Together, LGs ColdWash and 6 Motion technologies give you what seemed impossible: cold-water savings with warm-water performance. LG True Balance anti-vibration system is designed to minimize washer noise and vibration for smooth, quiet performance in any room of the house - even on the 2nd floor. The upfront electronic control panel with dual LED display and Dial-A-Cycle provide reliable operation. And, it's powered by LG's Direct Drive Motor, which comes with a 10-year limited warranty. As you can see, compromise is not in our dictionary. Why would it be in yours?California residents: see&nbsp;Proposition 65 informationThe ultra large capacity (4.0 cu. ft.) tub lets you do more laundry in fewer loads. That's time saved and sore backs avoided. The washer is white with silver spray doorNeveRust stainless steel drum resists corrosion and provides a smooth surface to be gentle on fabricsGet your clothes clean and experience a smarter way to wash with LG's innovative 6Motion technology, each wash cycle combines up to 6 different wash motions to provide a revolutionary cleaning experienceSenseClean wash system automatically sets water level and wash cycle time according to load weight and size for optimal washing results7 wash programs, including bulky/large, permanent press, cotton/normal, delicates, hand wash/wool and speed wash for washing a variety of fabricsAwarded the ENERGY STAR most efficient designation in 2013. LG Washers are ENERGY STAR qualified and meet Consortium for Energy Efficiency StandardsUpfront Electronic control panel with LED display and Dial-A-Cycle is easy to set and go. Preset cycles or customize a cycle to make it easy to select the ideal wash setting and spin speed for the best performanceAutomatic water level adjustment takes away the guesswork of how much water to use and savesLoDecibel Quiet Operation reduces operational noiseStackable design can be used with a matching dryer and optional stacking kit (not included) to maximize floor spaceWasher requires use of only high-efficiency detergent, typically two tablespoons per load. (See owner's manual)Click Here for details on the services included with Delivery & Basic Hook-up and Installation options for Major AppliancesThe Home Depot will not hook up your washer with used fill hoses; new fill hoses will be offered during appliance checkout"
100265,"Reach Barrier 3023 Silvertanium Radiant Barrier is the only non-laminated reflective insulation product available and is so pliable it makes even the toughest job easier. Silvertanium is constructed with highly reflective metallization on both sides and is perforated for maximum performance and breathability. Traditional insulation materials such as fiberglass or foam don't stop the heat they just slow it down but Silvertanium cutting edge technology stops 95% of radiant heat ensuring maximum protection. It is 30% lighter than other radiant barriers. This insulation is not a multiple-layer laminated product and it will never delaminate and fall apart. The proprietary protective coating will not oxidize or degrade over time, ensuring peak performance throughout the life of the product. At just a fraction of the thickness and weight, this insulation has up to four-times the tear resistance of other brands, making installation dramatically easier. Silvertanium meets all ASTM standards, complies with the international building code and is ideal for: Attic spaces, exterior and interior walls, interior masonry walls, radiant floors, metal and steel buildings, crawl spaces, garage ceilings and many other applications where insulation is needed. This insulation roll is 250 ft. long, 48 in. high and 0.01 in. thick. Installing a radiant barrier may be the lowest-cost improvement that can produce the greatest overall reduction in energy usage and expense.Installing Silvertanium reflective attic insulation barrier is a great DIY projectSave on energy costs by reducing energy consumption in your homeEntire attic is made cooler or warmer (Not just the living space below)Air conditioning equipment and ductwork within the attic benefit from the more consistent temperatures100% recyclableYour attic space remains more useable after installation"
100266,"HDX 40-piece ratcheting screwdriver set is ideal for working on all kinds of screws. The various bits save you money to buy many screwdrivers. Ratcheting handle makes work easy and efficient. New design HDX handle is durable and comfortable.Set includes: 1-piece ratcheting screwdriver, 39-piece bits: SL1/8, SL5/32, SL3/16 x 3-piece SL1/4 x 3-piece P0 x 2-piece P1 x 4-piece P2 x 4-piece P3 x 2-piece S0, S1 x 2-piece S2 x 4-piece S3, T10, T15, T20, T25, T27, T30, T40, H1/8, H5/32, H3/16, H1/4, 1 plastic caseDual material cushion gripHDX new designDurable and easy for use"
100267,"LG ColdWash technology cleans like warm, saves like cold to make your High-Efficiency washer even more efficient. And with the generous 4.3 cu. ft. capacity and extra wide door opening, you can fit more than ever before, making loading and unloading a breeze. Add in the confidence that comes with the Direct Drive Motor's 10-year limited warranty and you'll be saving energy including your own - for years to come. Search matching Electric Dryer Model DLE3170W or Gas Dryer model DLG3171W.California residents: see&nbsp;Proposition 65 informationThe ultra large capacity (4.3 cu. ft.) tub lets you do more laundry in fewer loads. That's time saved and sore backs avoided. The washer is white with silver spray doorNeveRust Stainless steel drum resists corrosion and provides a smooth surface to be gentle on fabricsGet your clothes clean and experience a smarter way to wash with LG's innovative 6 Motion technology, each wash cycle combines up to 6 different wash motions to provide a revolutionary cleaning experienceSenseClean wash system automatically sets water level and wash cycle time according to load weight and size for optimal washing results7 wash programs, including bulky/large, permanent press, cotton/normal, delicates, hand wash/wool and speed wash for washing a variety of fabricsAwarded the ENERGY STAR most efficient designation in 2014. LG Washers are Energy Star qualified and meet Consortium for Energy Efficiency StandardsUpfront Electronic control panel with LED display and Dial-A-Cycle is easy to set and go. Preset cycles or customize a cycle to make it easy to select the ideal wash setting and spin speed for the best performanceAutomatic water level adjustment takes away the guesswork of how much water to use and savesLoDecibel Quiet Operation reduces operational noiseLG NFC Technology allows you to easily change and customize cycles with a simple tap of a smart phone app. Can't find a cycle you need. There's an app for that. Your laundry just got a little bit smarterStackable design can be used with a matching dryer and optional stacking kit (not included) to maximize floor spaceWasher requires use of only high-efficiency detergent, typically two tablespoons per load. (See owner's manual)The Home Depot will not hook up your washer with used fill hoses; new fill hoses will be offered during appliance checkoutClick Here for details on the services included with Delivery & Basic Hook-up and Installation options for Major Appliances"
100268,"Connect in-wall speaker wire in your entertainment center using this Speaker Wall Plate from CE TECH. Wall plate has 2 binding posts that make it easy to connect up to 1 speaker. Corrosion-resistant, gold-plated posts offer high performance for in-wall applications. Wall plate has white finish.Center-pin plate provides connection point for in-wall speaker wire2 speaker binding posts provide connection for 1 speakerCompatible with regular speaker wire and banana plugsCorrosion-resistant gold-plated connectorsWhite finish plate blends into any decor"
100269,"Daltile's Briton ceramic floor and wall tile in Bone features color variation reminiscent of the look of natural stone. Its neutral color and cool, smooth finish provides a comfortable elegance for your home. Durability and abrasion resistance make this tile suitable for walls, residential floors and countertops. Briton Bone is a beautiful addition to a variety of design styles.0.25702 square foot per piece, each piece sold individually. Piece weight equals 0.85 lb.Grade 1, first-quality ceramic tile for floor, wall and countertop use12 in. width x 3 in. length x 5/16 in. thickGlazed smooth finish with a low sheen and a moderate variation in toneP.E.I. Rating IV has high resistance to abrasion and is suitable for heavy-duty residential and commercial floor installations such as entrances, commercial kitchens, hotels, exhibition and sales rooms with some dirt conditionsNon-Vitreous flooring has water absorption of more than 7% for indoor useC.O.F. less than .50 is marginally skid resistant for indoor use and is recommended for standard residential applicationsNot frost resistantResidential and commercial useLearn how to get a Lifetime Warranty by using Custom Building Products from The Home Depot. Visit www.homedepot.com/CBPDon't forget your coordinating trim pieces, grout, backerboard, thinset and installation toolsAll online orders for this item ship via parcel ground and may arrive in multiple boxesIt is recommended you purchase a minimum of 10% overage to account for design cuts and patterns"
100270,"Werner's 16 ft. Reach Fiberglass Podium Ladder delivers the same reach height as a 12 ft. stepladder and offers a large standing surface with toe guard, providing maximum comfort. It features the 4X Work Zone that allows you to face any direction safely, so you can accomplish more without having to reposition your ladder. This updated design also includes the HolsterTop PRO extended guardrail, providing an extra point of contact while securely and conveniently organizing tools and accessories at the top of the ladder. Built with safety in mind, the exclusive EDGE360 bracing system increases the size of the ladder foot pad and braces the first step, providing protection from every angle.Offers equivalent reach height of a 12 ft. step ladderExtra-large platform for long standing comfortHolsterTop PRO extended guard rail securely wraps around Work Zone and holds an arsenal of toolsEDGE360 includes an integrated rail shield, edge bracing and oversized foot pads for securityDouble riveted, slip-resistant, TRACTION-TRED steps offer secure footingANSI certified and OSHA compliant for safe use4X Work Zone to reach all directions:"
100271,"Finally, a product that delivers for LEED. AZEK Pavers help projects earn LEED certification easier than any other pavement. A superior alternative to concrete permeable pavers, AZEK Pavers combined with an open-graded base can reduce runoff-generating impervious cover and decrease the rate and quantity of runoff. Paver joints are filled with small stones and independently tested at an infiltration rate of over 480 in. per hour.Available in 5 colorsInfiltration rate: less than 480 in. per hourInstalled over open-graded subbaseApplications: parking lots, walkways, entryways, patios, driveways, other low speed vehicular applicationsNo specialized cutting equipment requiredWeighs 65% less than traditional concrete paversAZEK pavers are made from up to 95% recycled materialEach item contains 8 pavers and 1 grid"
100272,"The JELD-WEN 30 in. x 80 in. Wood Unfinished Slab Door features natural unfinished wood characteristics and can be painted or stained to match your decor. This 1-3/8 in. thick slab door is constructed from millwork byproducts to help preserve valuable natural resources. The reversible door handing allows flexibility when installing.California residents: see&nbsp;Proposition 65 informationHollow-core wood bored slab provides a lightweight and attractive door for any roomContains millwork by products to conserve natural resources1-3/8 in. Thick panel for durabilityDoor slabs must be finished on all 6 sidesUnfinished wood allows painting or staining to fit your decorReversible handing allows flexibility when installingNote: Product may vary by store"
100273,"Safavieh's Courtyard collection was created for today's indoor/outdoor lifestyle. These beautiful but practical rugs take outdoor decorating to the next level with new designs in fashion-forward colors and patterns from classic to contemporary. Made with enhanced material for extra durability, Courtyard rugs are pre-coordinated to work together in related spaces inside or outside the home. Safavieh developed a special sisal weave that achieves intricate designs that are so easy to maintain, you simply clean your rug with a garden hose.100% PolypropyleneNo backing, rug pad recommended to avoid shifting and slidingPower Loomed in TurkeyWater resistant making it perfect for outdoor useVacuum regularly and spot clean; for hard-to-remove stains, professional rug cleaning is recommendedFor an instant decorating makeover, this area rug is one of the easiest and most fashionable ways to refresh a room with character and stylePlease Note: The digital images and product dimensions on our website are as accurate as possible. Due to differences in computer monitors, some rug colors may vary slightly. Lengths and widths may vary from the published dimensions. We do our best to provide you with an exact measurement, but please be advised that some variation exists. Patterns may vary slightly according to shape and size selected.60 day manufacturer warranty, for warranty information on this product, please call our Internet Customer Service Center at 1-800-435-4654Please note: The digital images and product dimensions on our website are as accurate as possible. Due to differences in computer screens, some rug colors may vary slightly. Lengths and widths may vary from the published dimensions. We do our best to provide an exact measurement, but please be advised that some variation exists. Patterns may vary slightly according to shape and size selected.Check Out The Home Depot's Area Rug Buying Guide"
100274,"Milwaukee REDLITHIUM batteries are the next generation in Lithium-Ion technology. Compatible with all products in the M12 Cordless tool system, REDLITHIUM battery packs will provide unmatched runtime, performance and durability for the professional tradesman.1.5-amp hour 16-watt hour's batteryLightweight over 65% lighter vs. compact NiCd batteriesCompact over 50% smaller vs. compact NiCd batteriesRed lithium also provides up to 50% more rechargesBattery fuel gauge displays charge status on toolLithium-ion battery delivers long life and run time with fade-free powerFor use with Milwaukee M12 cordless toolsCompatible chargers: M12/M18 multi-voltage (48-59-1812), M12 AC/DC (2510-20), M12 30 minute (48-59-2401)Includes: (2) 48-11-2401 M12 red lithium-ion compact battery"
100275,"The Weyerhaeuser 1/2 in. x 4 ft. Rebar is designed with ridges to help concrete grip the bar when used in concrete reinforcement. This rebar is made from steel for strength and durability.Made from Grade 40 unfinished steelCan be used as a forming stake, garden stake, tent stake, sprinkler head stake, connector tie or in concrete reinforcementRidges help the concrete grip the barRusting does not affect performanceNote: Product may vary by store."
100276,"With a vintage modern flair, Markor is inspired by mid-century architectural design. Using a modular approach, Markor offers the ability to mix and match finishes and lights for a complete fixture suited perfectly for your home.California residents: see&nbsp;Proposition 65 informationVapor proof design offers convenient moisture protectionClear glass allows for bright lightTubular shape adds simple, contemporary styleIdeal for outdoor use in wet conditions"
100277,"Choose our innovative Pruning Stik Telescoping Tree Pruner for a level of control traditional pruners with exterior ropes can't match. The rope-free design means you can use both hands to maximize your power and accuracy, and an easy-to-grip sliding handle makes the pruning action smooth and simple. The lightweight pole extends up to 12', and an actuating ball at the end of the shaft lets you reach even farther and still prune with precision. An included 15"""" saw blade makes it easy to take down thicker branches, and the cutting head rotates up to 230 to let you prune and saw at tough angles. With the Pruning Stik Telescoping Tree Pruner, there's no cut you can't make. Lifetime warranty.California residents: see&nbsp;Proposition 65 informationAssembled Dimension: 4 in. W x 3 in. D x 95 in. H15 in. saw blade with adjustable anglePlastic handle extends up to 12 ft.Corrosion resistantDual-activated, ropeless PowerStroke cutting actionDual activated cutting actionRopeless, PowerStroke cutting actionNon-stick coated, sharp-precision steel bypass bladesLifetime Warranty"
100278,"The Vanderbilt and Delray Railing Post Sleeve Kit include the necessary post cap and base trim. Simply slide over your existing treated 4 in. x 4 in. post. And remember to slide the skirt over the post sleeve before installing your railing. Use with the following products (WWR-THDV36-S8, WWR-THDV36-S6, WWR-THDV36-S8S, WWR-THDV36-S6S, WWR-THDV36-C8, WWR-THDV36-C6, WWR-THDV36-C8S, WWR-THDV36-C6S).Available in whiteEasy to installLow maintenanceMust purchase 4 in. x 4 in. treated post separately, the post sleeve slides on treated 4 in. x 4 in. posts"
100279,"The Werner Multipurpose Project Tray conveniently holds tools, paint and supplies. Made for use with Werner multiladders and step ladders, it attaches easily and works at multiple heights. The tray conveniently includes sockets for the included ToolLasso and other accessories.Conveniently holds tools, paint and suppliesMade for Werner multi ladders and step laddersAttaches easily to ladderIncludes one ToolLasso to help keep your tools secure and handy"
100280,"The Feit Electric 13-Watt (60W) Red Twist CFL Light Bulb casts a red light that's perfect for post lights, porch lights and parties. Ideal for both indoor and outdoor use, the bulb features an instant start-up for convenient use. This bulb can last for up to 8,000 hours.Brightness: 25 lumensEstimated yearly energy cost: $1.57 (based on 3 hours/day, 11 cent/kWh, costs depend on rates and use)Life: 7.3 years (based on 3 hours/day)Light appearance: redEnergy used: 13-Watt (equivalent to 60-Watt standard incandescent light bulb)Red color makes the bulb ideal for use in post lights and porch lightsGreat for parties"
100281,"MD Building Products provides a full assortment of weather-stripping and high-density foam tapes for any weatherproofing needs. Water heater insulation blankets are designed for gas, oil or electric heaters. White vinyl backed fiberglass blanket. Includes adhesive tape for easy installation. Easy to install with scissors, measuring tape and pencil. Fits up to 60 gal. R-11 insulating value.High-density foam water heater blanket has been designed for gas, oil or electric heatersProduct has been designed for the DIY person and can be installed with scissors, measuring tape and pencilWater heater blanket is a white vinyl backed fiberglass blanketProduct has an R-11 insulating valueWater heater blanket includes adhesive tape for easy installation"
100282,"The RL Flo-Master 1 Gal. Economy Sprayer features a translucent polyethylene tank for monitoring the liquid level. This unit also provides ease of use with a comfortable-grip pump handle, a funnel-top design and an adjustable spray nozzle. The braided, reinforced hose is 32 in. long and detaches for easy cleaning.1 Gal. tank is easy to carryHigh-density polyethylene tank provides viewing of the fluid levelPoly wand provides durability and clips onto the handle for convenient storageNozzle easily adjusts from a fine mist to a solid stream to meet your spraying needsFlow control locks for ease of useReinforced, braided hose with a removable connection for easy assembly and cleaningFunnel top offers simple pouring and fillingComfortable pump handle for easy pumping and carrying"
100283,"This Indoor/Outdoor Ribbed Pattern Rug is a great way to dress up your patio, sunroom or any Indoor/Outdoor living space. Being constructed from 100% solution dyed polyester fiber helps make it mold, mildew and stain resistant for easy care and cleaning. This all weather rug is durable and also UV protected to help prevent fading. You can now have a great rug solution and at the same time be environmentally responsible since it is made from post-consumer recycled plastic drinking bottles.100% Solution dyed Polyester fiber durable ribbed needle punch constructionDuraLock backing - a latex-free premium fiber-fastening technologyMachine MadeUV protected to help prevent fadingVacuum, spot clean or spray with garden hoseMade from earth friendly post-consumer recycled plastic drinking bottlesPlease Note: The digital images and product dimensions on our website are as accurate as possible. Due to differences in computer monitors, some rug colors may vary slightly. Lengths and widths may vary from the published dimensions. We do our best to provide you with an exact measurement, but please be advised that some variation exists. Patterns may vary slightly according to shape and size selected."
100284,"The CAT professional 1000-Watt power inverter is designed with the pro in mind. This unit features dual 120-Volt outlets and 2 high output USB ports, ideal for operating and charging tools and a variety of electronics. The CPI1000 is unique in that it is the only 1000-Watt inverter that can be operated either by the 12-Volt accessory outlet plug (under 100-Watt) or the battery clips for the full 1000-Watt.1000-Watt continuous power outputDual 120-Volt AC outlets2 USB charging ports12-Volt accessory outlet plugHeavy duty cables and clipsTurbo cooling fansBuilt in mounting bracketsProtective outlet coversIlluminated power indicatorsStatus indicator buttonRoll barsHome Depot Protection Plan:"
100285,"Refrigerator Water Supply Kit includes everything needed for easy installation and fits most refrigerators. Refrigerator Water Supply Kit provides water to ice makers, ice and water dispensers, freestanding ice makers, humidifiers, and evaporator coolers.Includes everything you need for easy installationFits most major refrigerator brandsProvides water to ice makers, ice and water dispensers, freestanding ice makers, humidifiers, and evaporator coolers(1) 5 ft. pex tubing and fittings"
100286,"The Werner Energy Seal Aluminum Attic Ladder delivers five times more energy efficiency than a traditional attic ladder with its insulated door and weather-stripping that offer energy saving benefits. An innovative air locking design creates a tight seal, reducing drafts and air leakage up to 60%. The ladder offers a universal fit for homes with ceiling heights 8-10 ft., designed for attic openings 22.5 in. x 54 in. Lightweight aluminum construction boasts a 375 lb. load capacity, while gas struts ensure smooth, easy door opening. Installation is simple with the easy-to-follow online instruction video.Aluminum construction offers lightweight durabilityReduces drafts to conserve energySealed opening provides 60% reduction in air leakageInsulated door provides five times more energy efficiency for your home compared to standard attic laddersQuiet struts for easy opening and closing375 lb. load capacity provides ample support for transporting items to and from the atticFits ceiling heights 7 ft. 8 in. to 10 ft. 3 in.ANSI and OSHA compliant for safetyFits ceiling heights 7'8"" to 10'3"""
100287,"These Grip-Rite roofing nails are for installing asphalt roofing shingles. They can also be used to apply insulation board, and felt to wood substrates. They are electro-galvanized to help resist rust and corrosion.Made of steel constructionDiamond point tip for easier drivingLarge head and heavier shank provide greater holding powerMade to conform to ASTM F1667 requirements"
